#Entity   POWER             TOTEC                   TXTPT          RXTPT          GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID         W                 mJ                     KB/            KB/                                                                                                                                                                                                                                                                        
GPU 0     56.535            22352297102             N/A            N/A            100               0                 1.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        33996420                    76423994                    0                           0                           
GPU 1     27.493            20848892152             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        181360                      104146                      0                           0                           
GPU 0     56.340            22352355258             N/A            N/A            100               0                 1.000        1.000        0.964        0.000        0.000        0.000        0.000        0.000        27659241                    71630538                    0                           0                           
GPU 1     27.493            20848919767             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        141707                      85937                       0                           0                           
GPU 0     56.943            22352413499             N/A            N/A            100               0                 1.000        1.000        0.964        0.000        0.000        0.000        0.000        0.000        32688240                    71670466                    0                           0                           
GPU 1     27.487            20848950114             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        263937                      158327                      0                           0                           
GPU 0     56.937            22352472046             N/A            N/A            100               0                 1.000        1.000        0.977        0.000        0.000        0.000        0.000        0.000        70752564                    80667326                    0                           0                           
GPU 1     27.493            20848977700             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        182152                      107012                      0                           0                           
GPU 0     56.943            22352530332             N/A            N/A            100               0                 1.000        1.000        0.957        0.000        0.000        0.000        0.000        0.000        42134680                    80550772                    0                           0                           
GPU 1     27.487            20849005260             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        138482                      84502                       0                           0                           
GPU 0     56.730            22352588658             N/A            N/A            100               0                 1.000        1.000        0.960        0.000        0.000        0.000        0.000        0.000        30474611                    71876867                    0                           0                           
GPU 1     27.493            20849032845             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        172771                      102039                      0                           0                           
GPU 0     56.828            22352646888             N/A            N/A            100               0                 1.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        26519753                    71383637                    0                           0                           
GPU 1     27.481            20849060445             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        207664                      121015                      0                           0                           
GPU 0     56.730            22352699403             N/A            N/A            100               0                 1.000        1.000        0.971        0.000        0.000        0.000        0.000        0.000        26504161                    71255237                    0                           0                           
GPU 1     27.487            20849088030             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        159304                      93286                       0                           0                           
GPU 0     57.132            22352757630             N/A            N/A            100               0                 1.000        1.000        0.994        0.000        0.000        0.000        0.000        0.000        24674866                    71242760                    0                           0                           
GPU 1     27.493            20849118382             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        130562                      79312                       0                           0                           
GPU 0     56.943            22352815865             N/A            N/A            100               0                 1.000        1.000        0.994        0.000        0.000        0.000        0.000        0.000        24342196                    71162033                    0                           0                           
GPU 1     27.475            20849145964             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        127509                      78881                       0                           0                           
GPU 0     56.633            22352874121             N/A            N/A            100               0                 1.000        1.000        0.993        0.000        0.000        0.000        0.000        0.000        24794979                    71276730                    0                           0                           
#Entity   POWER             TOTEC                   TXTPT          RXTPT          GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID         W                 mJ                     KB/            KB/                                                                                                                                                                                                                                                                        
GPU 1     27.481            20849173550             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        53374                       31420                       0                           0                           
GPU 0     56.730            22352932462             N/A            N/A            100               0                 1.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        24946444                    71588345                    0                           0                           
GPU 1     27.493            20849201153             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        135949                      83623                       0                           0                           
GPU 0     57.040            22352990751             N/A            N/A            100               0                 1.000        1.000        0.994        0.000        0.000        0.000        0.000        0.000        24448373                    71260958                    0                           0                           
GPU 1     27.493            20849228758             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        131369                      80539                       0                           0                           
GPU 0     56.834            22353048950             N/A            N/A            100               0                 1.000        1.000        0.999        0.000        0.000        0.000        0.000        0.000        24456240                    71196949                    0                           0                           
GPU 1     27.493            20849259142             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        134978                      82881                       0                           0                           
GPU 0     56.557            22353107290             N/A            N/A            100               0                 1.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        30079679                    71299102                    0                           0                           
GPU 1     27.493            20849286755             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        145470                      87377                       0                           0                           
GPU 0     57.528            22353165837             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        62380175                    81645409                    0                           0                           
GPU 1     27.389            20849314364             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        145470                      87377                       0                           0                           
GPU 0     57.522            22353224528             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        62380175                    81645409                    0                           0                           
GPU 1     27.487            20849341944             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        131896                      79065                       0                           0                           
GPU 0     56.937            22353283112             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        56475020                    80530983                    0                           0                           
GPU 1     27.487            20849369530             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        152473                      93425                       0                           0                           
GPU 0     57.328            22353341671             N/A            N/A            100               0                 1.000        1.000        0.999        0.000        0.000        0.000        0.000        0.000        46659110                    80845609                    0                           0                           
GPU 1     27.481            20849397128             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        127674                      76600                       0                           0                           
GPU 0     57.718            22353400308             N/A            N/A            100               0                 1.000        1.000        0.999        0.000        0.000        0.000        0.000        0.000        30335351                    71778455                    0                           0                           
GPU 1     27.493            20849424702             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        145488                      90275                       0                           0                           
GPU 0     57.718            22353459025             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        69139489                    81036780                    0                           0                           
GPU 1     27.475            20849452277             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        156774                      91658                       0                           0                           
GPU 0     57.528            22353517545             N/A            N/A            100               0                 1.000        1.000        0.999        0.000        0.000        0.000        0.000        0.000        55362825                    79602931                    0                           0                           
GPU 1     27.475            20849479849             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        124481                      77794                       0                           0                           
GPU 0     57.522            22353576325             N/A            N/A            100               0                 1.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        38549464                    76209422                    0                           0                           
GPU 1     27.487            20849507421             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        128054                      80285                       0                           0                           
GPU 0     56.730            22353634701             N/A            N/A            100               0                 1.000        1.000        0.999        0.000        0.000        0.000        0.000        0.000        31750727                    71548474                    0                           0                           
GPU 1     27.487            20849537765             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        135993                      83830                       0                           0                           
GPU 0     56.730            22353693149             N/A            N/A            100               0                 1.000        1.000        0.999        0.000        0.000        0.000        0.000        0.000        27401032                    71448684                    0                           0                           
#Entity   POWER             TOTEC                   TXTPT          RXTPT          GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID         W                 mJ                     KB/            KB/                                                                                                                                                                                                                                                                        
GPU 1     27.493            20849565349             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        127724                      79879                       0                           0                           
GPU 0     56.633            22353751700             N/A            N/A            100               0                 1.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        25601223                    71829162                    0                           0                           
GPU 1     27.493            20849592926             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        143929                      87880                       0                           0                           
GPU 0     56.736            22353810158             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        25449170                    71787673                    0                           0                           
GPU 1     27.493            20849620531             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        123485                      76700                       0                           0                           
GPU 0     57.041            22353863062             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        25363336                    71965117                    0                           0                           
GPU 1     27.481            20849650898             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        135624                      83702                       0                           0                           
GPU 0     57.132            22353927145             N/A            N/A            100               0                 1.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        24773648                    71456739                    0                           0                           
GPU 1     27.493            20849678465             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        157720                      97501                       0                           0                           
GPU 0     57.328            22353979905             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        24321724                    71269406                    0                           0                           
GPU 1     27.487            20849706058             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        97725                       59572                       0                           0                           
GPU 0     57.328            22354044399             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        25058891                    71974208                    0                           0                           
GPU 1     27.493            20849733633             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        128028                      79296                       0                           0                           
